episode_index,block_index,repeat_id,episode_id,condition,offload_gb,victim_concurrency,burst_parallelism,burst_output_len,victim_seed,burst_seed,measurement_window_s,measurement_window_start_unix_ns,measurement_window_end_unix_ns,burst_offset_s,intervention_time_unix_ns,warmup_done,burst_started,burst_start_time_unix_ns,burst_end_time_unix_ns,burst_completed,burst_cancelled_or_timeout,burst_exit_code,start_utc,end_utc,duration_s,victim_json,burst_json,victim_exit_code,victim_process_start_unix_ns,burst_process_start_unix_ns,status,error_text
0,0,1,phaseA_o12_vc8_bp4_bo256_rep01_no_burst,no_burst,12,8,4,256,42001,42002,240.0,1782207769393319099,1782208009393408752,30.0,1782207799393411672,True,False,,,False,False,,2026-06-23T09:40:49.240431+00:00,2026-06-23T09:48:19.433234+00:00,450.19,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep01_no_burst/victim.json,,0,1782207769393319099,,OK,
1,0,1,phaseA_o12_vc8_bp4_bo256_rep01_fixed_burst,fixed_burst,12,8,4,256,43001,43002,240.0,1782208215933148495,1782208455933220595,30.0,1782208245933225753,True,True,1782208245933435399,1782208660954537640,True,False,0,2026-06-23T09:48:19.433825+00:00,2026-06-23T09:57:40.954624+00:00,561.52,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep01_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep01_fixed_burst/burst.json,0,1782208215933148495,1782208245933435399,OK,
2,1,2,phaseA_o12_vc8_bp4_bo256_rep02_no_burst,no_burst,12,8,4,256,44001,44002,240.0,1782208780304481218,1782209020304551757,30.0,1782208810304550641,True,False,,,False,False,,2026-06-23T09:57:40.955135+00:00,2026-06-23T10:05:17.297650+00:00,456.34,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep02_no_burst/victim.json,,0,1782208780304481218,,OK,
3,1,2,phaseA_o12_vc8_bp4_bo256_rep02_fixed_burst,fixed_burst,12,8,4,256,45001,45002,240.0,1782209235775770439,1782209475775852786,30.0,1782209265775845943,True,True,1782209265776056007,1782209684939987831,True,False,0,2026-06-23T10:05:17.298154+00:00,2026-06-23T10:14:44.940071+00:00,567.64,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep02_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep02_fixed_burst/burst.json,0,1782209235775770439,1782209265776056007,OK,
4,2,3,phaseA_o12_vc8_bp4_bo256_rep03_no_burst,no_burst,12,8,4,256,46001,46002,240.0,1782209804301137579,1782210044301212470,30.0,1782209834301205302,True,False,,,False,False,,2026-06-23T10:14:44.940630+00:00,2026-06-23T10:22:15.345841+00:00,450.41,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep03_no_burst/victim.json,,0,1782209804301137579,,OK,
5,2,3,phaseA_o12_vc8_bp4_bo256_rep03_fixed_burst,fixed_burst,12,8,4,256,47001,47002,240.0,1782210256203654669,1782210496203694507,30.0,1782210286203750286,True,True,1782210286203914111,1782210704505117742,True,False,0,2026-06-23T10:22:15.346379+00:00,2026-06-23T10:31:44.505213+00:00,569.16,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep03_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep03_fixed_burst/burst.json,0,1782210256203654669,1782210286203914111,OK,
6,3,4,phaseA_o12_vc8_bp4_bo256_rep04_fixed_burst,fixed_burst,12,8,4,256,48001,48002,240.0,1782210819240736890,1782211059240805391,30.0,1782210849240822813,True,True,1782210849241013599,1782211267879739847,True,False,0,2026-06-23T10:31:44.505855+00:00,2026-06-23T10:41:07.879833+00:00,563.37,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep04_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep04_fixed_burst/burst.json,0,1782210819240736890,1782210849241013599,OK,
7,3,4,phaseA_o12_vc8_bp4_bo256_rep04_no_burst,no_burst,12,8,4,256,49001,49002,240.0,1782211387220713251,1782211627220787991,30.0,1782211417220787513,True,False,,,False,False,,2026-06-23T10:41:07.880366+00:00,2026-06-23T10:48:41.455793+00:00,453.58,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep04_no_burst/victim.json,,0,1782211387220713251,,OK,
8,4,5,phaseA_o12_vc8_bp4_bo256_rep05_fixed_burst,fixed_burst,12,8,4,256,50001,50002,240.0,1782211842357465130,1782212082357532085,30.0,1782211872357533373,True,True,1782211872357742988,1782212229730927783,True,False,0,2026-06-23T10:48:41.456360+00:00,2026-06-23T10:57:09.731015+00:00,508.27,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep05_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep05_fixed_burst/burst.json,0,1782211842357465130,1782211872357742988,OK,
9,4,5,phaseA_o12_vc8_bp4_bo256_rep05_no_burst,no_burst,12,8,4,256,51001,51002,240.0,1782212346222452444,1782212586222524365,30.0,1782212376222521263,True,False,,,False,False,,2026-06-23T10:57:09.731635+00:00,2026-06-23T11:04:39.811085+00:00,450.08,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc8_bp4_bo256_20260623_094049/episodes/phaseA_o12_vc8_bp4_bo256_rep05_no_burst/victim.json,,0,1782212346222452444,,OK,
