dataset_model,offload_gb,output_len,files,completed_requests,failed_requests,median_ttft_ms_n,median_ttft_ms_median,median_ttft_ms_p05,median_ttft_ms_p95,median_ttft_ms_min,median_ttft_ms_max,median_tpot_ms_n,median_tpot_ms_median,median_tpot_ms_p05,median_tpot_ms_p95,median_tpot_ms_min,median_tpot_ms_max,median_itl_ms_n,median_itl_ms_median,median_itl_ms_p05,median_itl_ms_p95,median_itl_ms_min,median_itl_ms_max,median_e2el_ms_n,median_e2el_ms_median,median_e2el_ms_p05,median_e2el_ms_p95,median_e2el_ms_min,median_e2el_ms_max,p95_ttft_ms_n,p95_ttft_ms_median,p95_ttft_ms_p05,p95_ttft_ms_p95,p95_ttft_ms_min,p95_ttft_ms_max,p95_tpot_ms_n,p95_tpot_ms_median,p95_tpot_ms_p05,p95_tpot_ms_p95,p95_tpot_ms_min,p95_tpot_ms_max,p95_itl_ms_n,p95_itl_ms_median,p95_itl_ms_p05,p95_itl_ms_p95,p95_itl_ms_min,p95_itl_ms_max,p95_e2el_ms_n,p95_e2el_ms_median,p95_e2el_ms_p05,p95_e2el_ms_p95,p95_e2el_ms_min,p95_e2el_ms_max,request_throughput_n,request_throughput_median,request_throughput_p05,request_throughput_p95,request_throughput_min,request_throughput_max,output_throughput_n,output_throughput_median,output_throughput_p05,output_throughput_p95,output_throughput_min,output_throughput_max,total_token_throughput_n,total_token_throughput_median,total_token_throughput_p05,total_token_throughput_p95,total_token_throughput_min,total_token_throughput_max,duration_s_n,duration_s_median,duration_s_p05,duration_s_p95,duration_s_min,duration_s_max,median_tpot_ms_median_ratio_vs_offload0,median_itl_ms_median_ratio_vs_offload0,median_ttft_ms_median_ratio_vs_offload0,median_e2el_ms_median_ratio_vs_offload0,output_throughput_median_ratio_vs_offload0,model
llama,0,32,30,600,0,30,62.06777974966826,27.874339725440223,89.399875224899,27.623086998573854,89.79214650025824,30,20.699034612892238,19.460425033884672,22.550899144334835,19.458124112955584,22.62390545160264,30,20.647090500460763,19.44925635107211,22.51444659877961,19.444028999714646,22.532822998982738,30,697.8832134991535,631.6039894743881,788.6062676489018,631.1074209988874,790.063292000923,30,65.06052467484551,28.69743941944762,91.0815738382189,28.225159050998627,91.64946595083164,30,20.74885212901908,19.49461938325722,22.556931645873014,19.492226221072706,22.63007155313737,30,21.328019526390563,19.801328696248675,23.41606469444741,19.774377999237917,23.508849998688675,30,707.7417587252967,632.33873166173,790.3803586629965,632.0337032500902,792.0387000001938,30,7.555049507520527,1.582356597476548,13.471900552766243,1.58179885544736,13.604820667928704,30,241.76158424065687,50.63541111924953,431.10081768851984,50.61756337431552,435.3542613737185,30,2168.2992086583918,454.13634347576925,3866.435458643912,453.9762715133923,3904.5835316955377,30,2.807372267001483,1.484571530799076,12.63937635520142,1.470067154001299,12.64383264099888,1.0,1.0,1.0,1.0,1.0,llama
llama,0,64,30,600,0,30,63.50271875089675,28.143884249766412,90.02379375024248,27.90981950056448,90.2532695017726,30,20.695181380948007,19.47983522616177,22.56466071509157,19.47438289682886,22.58200104759973,30,20.673480501500308,19.478977024391497,22.525998524815805,19.47349650254182,22.53167249909893,30,1367.7243602505769,1255.544189950342,1511.1970405750071,1255.2054975021747,1511.424148500737,30,69.76416417446671,29.196735909445124,91.713696748011,28.526649950799765,92.19033564932032,30,20.713686105969717,19.4999560569834,22.56819919975449,19.488362875390088,22.586952822183815,30,21.03789024959042,19.642493203928098,23.00426582941327,19.625130498934595,23.1319459999213,30,1373.895445750259,1256.7680305594968,1513.240553283822,1256.1022295491057,1513.3448268001302,30,3.901697485762466,0.7959576881454219,6.986050491712405,0.7957919940321786,6.986795504610454,30,249.70863908879784,50.941292041307,447.1072314695939,50.93068761805943,447.154912295069,30,1244.6414979582266,253.9105025183896,2228.550106856257,253.85764609626497,2228.7877659707347,30,5.443041746499148,2.862847904099908,25.12696397184973,2.8625426329999755,25.132195535999927,1.0,1.0,1.0,1.0,1.0,llama
llama,0,128,30,600,0,30,63.46113849940593,28.261075624232035,89.4137854258588,27.778425501310267,89.99063550072606,30,20.744034972439277,19.48617590118317,22.7112340358263,19.480857877950505,22.71752940159929,30,20.71814424925833,19.488270824513165,22.617799524687143,19.4864700006292,22.63059550023172,30,2699.0280895006435,2503.033522950591,2973.372026601828,2502.76988800033,2973.8847610005905,30,70.77894367448607,28.835588170095438,91.0433640478368,28.54832359989814,91.8308316016919,30,20.757347663776294,19.51306280304952,22.71249131900201,19.510353131871543,22.718193022835948,30,20.9787797255558,19.60465294648202,23.104751976270563,19.5847485012564,23.214488001030983,30,2705.601154226315,2506.513848803816,2975.1784002721706,2506.039282349411,2975.7090941480783,30,1.9814750765453168,0.3993509555908455,3.5463967113935952,0.3991839914697327,3.5483869232472123,30,253.62880979780056,51.11692231562823,453.9387790583802,51.09555090812579,454.1935261756432,30,758.9049543168564,152.95141599129386,1358.269940463747,152.88746873290765,1359.0321916036823,30,10.71010500850025,5.639527013250517,50.08126244240084,5.636363911999069,50.10220957599813,1.0,1.0,1.0,1.0,1.0,llama
llama,2,32,30,600,0,30,577.482138749474,259.08198252618604,637.2081319741483,258.9924644998973,754.4801804979215,30,252.1866843871389,107.01989127176807,257.5032627540314,107.00088716135548,257.6098217096813,30,252.1870039981877,107.0128659996044,257.4374025736688,107.01004700240446,257.4838069995167,30,8443.537062999894,3576.7435247978938,8603.287054501016,3575.9751825025887,8606.516771498718,30,619.7504955989644,260.80107823236176,759.6717121852998,260.5226471056085,762.316713250766,30,252.4766640025372,107.04824739951296,257.505764417738,107.03990433382477,257.6117958870694,30,253.10342895299985,107.2833678959796,258.521096648783,107.25520200030589,258.58001055312343,30,8477.142788996207,3578.333389866839,8604.83201982066,3577.969349900013,8608.94507640187,30,0.634446514237424,0.2463379938969045,1.176149374583618,0.2463100912823219,1.1764801422922604,30,20.30228845559757,7.882815804700945,37.636779986675776,7.881922921034301,37.64736455335233,30,182.08614958614072,70.6990042484116,337.5548705054984,70.69099619802638,337.6498008378788,30,33.36970183599988,17.004642837349458,81.18926230999823,16.999861944997974,81.1984596159964,12.18349981549702,12.214166639728726,9.304056647081218,12.098782288607284,0.0839764866670796,llama
llama,2,64,30,600,0,30,579.0450912500091,258.4118360757202,695.5257232240906,258.280043501145,754.9970620020758,30,252.24658816665715,107.03189587892707,257.5545013420774,107.03100113494745,257.62858596822804,30,252.20284275201263,107.02301577493928,257.48431817391975,107.02208649672684,257.5258329998178,30,16558.155094498943,7001.497604850556,16847.499946899734,7001.4204180006345,16849.44619849557,30,621.0138091777482,260.7134012963252,760.717615794947,260.4852930540801,762.5661206468067,30,252.33445295161795,107.05130200787116,257.5550317522685,107.04671808325944,257.62921155554875,30,252.9819613258951,107.2277655535254,258.27438002344934,107.2152829994593,258.4148680060025,30,16574.88312317255,7003.691660504792,16849.260924079335,7003.401814846438,16851.22303014723,30,0.3244439594210774,0.1237916952876114,0.6005754003035354,0.123740546143343,0.6006027986624681,30,20.764413402948957,7.92266849840713,38.436825619426266,7.919394953173954,38.43857911439796,30,103.49762305532369,39.489550796748034,191.58355269682775,39.47323421972643,191.59229277332736,30,65.5130323150006,33.301397281901885,161.5617297644494,33.2998781300048,161.6285091940008,12.188662835247024,12.199341215607594,9.118429929298612,12.106353864652505,0.0831545655717782,llama
llama,2,128,30,600,0,30,578.8448422499641,258.683597973868,623.2112276255066,257.90793299893267,754.2112035007449,30,252.29744190944515,107.03889274174554,257.69802678976873,107.03710431498192,257.7004938464698,30,252.23506999827805,107.02821192771808,257.57528997455665,107.02662000039707,257.59608049702365,30,32681.337160249317,13852.571866199833,33348.98121710066,13852.295826502086,33350.73017749892,30,620.6662161497662,260.5182349266761,758.2947324381348,259.77135420362174,758.90273330333,30,252.3505257352504,107.05471164851708,257.6986269790193,107.05184908109678,257.7016018027322,30,253.0645458966319,107.2124165175046,258.3466945488908,107.20403734885622,258.48183190537384,30,32732.391461725456,13855.382840294587,33350.85847911643,13854.937641151264,33352.472705346736,30,0.16378014663179,0.0620626230243415,0.3035177592949436,0.062009473973197,0.3035831028794359,30,20.963858768869127,7.944015747115716,38.850273189752784,7.937212668569217,38.8586371685678,30,62.72779615997558,23.769984618322805,116.2473018099634,23.74962853173445,116.27232840282396,30,129.89939794900056,65.89400253920249,322.255202707848,65.87981943100021,322.5313604280018,12.162409205569212,12.174597635949349,9.12124893970162,12.108557627607276,0.0826556682798853,llama
llama,4,32,30,600,0,30,1074.3947365008353,489.7308689009151,1325.774324597477,489.2254159967706,1452.7932169985434,30,484.80721574190784,195.032488187914,493.6010455129425,195.0173631451053,493.8327393064092,30,484.8339414984366,195.0269235219821,493.4313179745004,195.0206350011285,493.5002109959896,30,16235.212296998723,6535.596778725085,16453.157583175744,6535.289835497679,16460.745976997714,30,1178.2796578507262,492.2327005272382,1458.1025537752612,491.655233851634,1462.9344470522483,30,484.97780866371966,195.06059431755983,493.61090877750735,195.0502659998869,493.8346434501117,30,485.86431582552905,195.34511302368628,494.4728031784871,195.3082592015562,494.7633770971152,30,16261.784864097535,6539.098969471543,16455.013516537056,6538.389548556006,16462.10591755189,30,0.3319120169834135,0.128479360774179,0.6136470233095886,0.1284129752671697,0.6137439078834309,30,10.621184543469234,4.111339544773728,19.63670474590684,4.109215208549433,19.63980505226979,30,95.2587488742397,36.873576542189376,176.11669568985195,36.85452390167772,176.1445015625447,30,63.885082082000736,32.592026463803265,155.66707629754964,32.58688150400121,155.7475010479975,23.42173076226219,23.481949744329206,17.31002366822341,23.26350882634952,0.0439324741225081,llama
llama,4,64,30,600,0,30,1113.795863748237,490.0794381246669,1452.0539663999443,489.7678504967189,1453.3917285007192,30,484.83949915876906,195.04828391985475,493.4613585385431,195.04435434917843,493.5650453809348,30,484.8038477502996,195.0351900275564,493.3191450261802,195.03349249862367,493.426062999788,30,31800.899260751976,12778.320519377485,32242.17325380196,12777.972779502306,32245.99088149625,30,1181.7958156472744,492.3188634775397,1462.8663626490015,491.5473479457432,1463.9947866500734,30,484.9562730444559,195.0646196205286,493.4663992412985,195.0589938444388,493.5661855396849,30,485.8786787792269,195.30275035134764,494.35247205012274,195.293019001474,494.3982871987828,30,31828.950995474224,12780.72286759796,32246.16040592689,12780.539037048948,32515.33040905488,30,0.1686402870437748,0.0644221765389156,0.3132357102443828,0.0643874817402237,0.313293038590257,30,10.792978370801588,4.123019298490603,20.0470854556405,4.120798831374319,20.050754469776447,30,53.79625156696417,20.5506743159141,99.92219156795812,20.539606675131367,99.94047931029198,30,126.18499902400072,63.84968045380047,310.4521011283002,63.83799681600067,310.6193853129953,23.42765159841085,23.450519021947784,17.539341396032885,23.250956248908093,0.0432222866224646,llama
llama,4,128,30,600,0,30,1074.173140750645,490.3046669518517,1171.5290142477895,490.1965275057592,1172.1655985020334,30,484.8919261948906,195.0527360529616,493.5623767781675,195.049206161421,493.6222447559119,30,484.8897954998392,195.03500424980305,493.3949366766683,195.03259499833803,493.4430275025079,30,62734.80508225112,25262.486107849145,63832.55462717352,25262.05769450098,63842.78083299796,30,1178.822722950645,492.31499906825775,1456.2691476620605,492.08939769814606,1457.12084745428,30,485.0069427314789,195.06652214743076,493.5628810612567,195.0617946972391,493.6236442681204,30,485.903295776734,195.2794143956089,494.55272553714167,195.2702529993985,494.7222981976665,30,62749.32498690341,25265.192552480985,63834.32075456306,25263.57641184913,63844.51133314651,30,0.0852496730456642,0.0322696469197118,0.1582530725441328,0.0322670777160025,0.1582569386989262,30,10.91195814984502,4.130514805723111,20.256393285649,4.130185947648325,20.256888153462555,30,32.6506247764894,12.35927477024962,60.61092678440286,12.358290765228972,60.612407521688745,30,249.57107288349653,126.37985271849864,619.7774689940004,126.37676530599856,619.826814688,23.375005240741388,23.404113306007,16.92647132009301,23.243479875697734,0.0430233385495295,llama
llama,8,32,30,600,0,30,2186.4041382505093,948.4206803812413,2829.7865576987533,948.3798680012114,2847.537491499679,30,945.0846747015256,364.700983732168,959.3973730976652,364.7008989515128,959.5549961936006,30,944.991672753531,364.68301864297246,959.3161524728202,364.6786204990349,959.4797809913872,30,31636.86513374705,12254.2643051529,32038.19616727451,12254.097151497264,32248.636734002503,30,2290.853873376182,952.1196452197364,2849.7204518046783,950.8893382415408,2858.078919707623,30,945.4306697379046,364.7375698248124,959.4053771872908,364.7222916679663,959.5650501616605,30,946.543028495944,365.144365121123,960.6886834039324,365.1317566567741,960.7498005520029,30,31673.06429114542,12258.223698248366,32055.82727235746,12257.545073708025,32569.807483696783,30,0.1697215544572666,0.0660166903005578,0.3154772579305218,0.0658563435271882,0.3154993112939886,30,5.431089742632532,2.112534089617852,10.0952722537767,2.1074029928700244,10.095977961407636,30,48.71008612923552,18.94679011626011,90.54197302605976,18.900770592303036,90.54830234137474,30,125.24607453399948,63.396011957101294,302.9537637518937,63.39158053300344,303.69132157698914,45.65839385151261,45.76875723639815,35.2260729652118,45.33260654762177,0.0224646515272097,llama
