offload_gb,concurrency,n_files,median_tpot_ms,p95_file_tpot_ms,median_itl_ms,median_ttft_ms
0,1,15,19.482,19.501,19.331,28.397
0,2,15,20.189,20.211,20.031,55.866
0,4,15,20.499,20.517,20.321,60.426
0,8,15,20.884,20.940,20.690,65.592
0,12,15,22.030,22.122,21.804,76.488
0,16,15,22.356,22.496,22.162,85.709
2,1,15,107.036,107.190,106.193,258.868
2,2,15,248.909,251.360,248.011,465.283
2,4,15,251.297,251.436,249.296,569.746
2,8,15,252.779,252.960,250.763,615.457
2,12,15,256.309,256.482,254.137,580.513
2,16,15,256.822,257.013,254.765,615.564
4,1,15,195.050,195.066,193.518,490.251
4,2,15,480.368,483.472,477.456,849.166
4,4,15,482.995,483.305,479.454,1153.930
4,8,15,485.694,486.017,481.834,1168.515
4,12,15,491.479,491.843,487.409,1084.037
4,16,15,492.195,492.458,488.267,1145.930
8,1,15,364.719,364.728,361.856,948.698
8,2,15,936.477,942.018,929.710,1662.017
8,4,15,941.816,942.334,933.896,2233.393
8,8,15,946.896,947.738,939.403,2258.157
8,12,15,956.408,956.907,948.530,2076.335
8,16,15,957.168,957.624,949.582,2179.647
12,1,15,539.474,539.521,535.236,1411.321
12,2,15,1391.051,1404.361,1385.955,2497.819
12,4,15,1403.369,1404.877,1392.375,3329.875
12,8,15,1411.782,1412.321,1400.523,3361.981
12,12,15,1425.762,1426.389,1414.157,3079.411
12,16,15,1426.847,1427.390,1415.621,3241.060
16,1,15,580.126,580.134,575.570,1510.115
16,2,15,1494.870,1503.066,1481.314,2728.019
16,4,15,1501.920,1502.876,1490.203,3564.137
16,8,15,1509.602,1510.731,1497.491,3599.125
16,12,15,1524.352,1525.014,1511.965,3299.203
16,16,15,1524.522,1525.838,1513.504,3480.662
