dataset_model,offload_gb,concurrency,files,completed_requests,failed_requests,median_ttft_ms_n,median_ttft_ms_median,median_ttft_ms_p05,median_ttft_ms_p95,median_ttft_ms_min,median_ttft_ms_max,median_tpot_ms_n,median_tpot_ms_median,median_tpot_ms_p05,median_tpot_ms_p95,median_tpot_ms_min,median_tpot_ms_max,median_itl_ms_n,median_itl_ms_median,median_itl_ms_p05,median_itl_ms_p95,median_itl_ms_min,median_itl_ms_max,median_e2el_ms_n,median_e2el_ms_median,median_e2el_ms_p05,median_e2el_ms_p95,median_e2el_ms_min,median_e2el_ms_max,p95_ttft_ms_n,p95_ttft_ms_median,p95_ttft_ms_p05,p95_ttft_ms_p95,p95_ttft_ms_min,p95_ttft_ms_max,p95_tpot_ms_n,p95_tpot_ms_median,p95_tpot_ms_p05,p95_tpot_ms_p95,p95_tpot_ms_min,p95_tpot_ms_max,p95_itl_ms_n,p95_itl_ms_median,p95_itl_ms_p05,p95_itl_ms_p95,p95_itl_ms_min,p95_itl_ms_max,p95_e2el_ms_n,p95_e2el_ms_median,p95_e2el_ms_p05,p95_e2el_ms_p95,p95_e2el_ms_min,p95_e2el_ms_max,request_throughput_n,request_throughput_median,request_throughput_p05,request_throughput_p95,request_throughput_min,request_throughput_max,output_throughput_n,output_throughput_median,output_throughput_p05,output_throughput_p95,output_throughput_min,output_throughput_max,total_token_throughput_n,total_token_throughput_median,total_token_throughput_p05,total_token_throughput_p95,total_token_throughput_min,total_token_throughput_max,duration_s_n,duration_s_median,duration_s_p05,duration_s_p95,duration_s_min,duration_s_max,median_tpot_ms_median_ratio_vs_offload0,median_itl_ms_median_ratio_vs_offload0,median_ttft_ms_median_ratio_vs_offload0,median_e2el_ms_median_ratio_vs_offload0,output_throughput_median_ratio_vs_offload0
llama,0,1,15,300,0,15,28.366340000502532,27.695980799944664,28.703942249921965,27.623086998573854,28.85231250002107,15,19.480318833331463,19.45961334035195,19.493566540544936,19.458124112955584,19.50427519290043,15,19.48145449932781,19.446339000751323,19.49085470114369,19.444028999714646,19.493685500492575,15,1255.8052865006175,631.3147004486382,2504.0350437999223,631.1074209988874,2505.602673498288,15,28.973780050910136,28.435552064893272,29.390152863179537,28.225159050998627,29.439326147257816,15,19.50923758806947,19.49106721736792,19.51603902423927,19.488362875390088,19.517037009832773,15,19.652300500820274,19.594908998915344,19.81931151360186,19.5847485012564,19.842803549363452,15,1257.1862529515784,632.1357401498062,2507.2177261531215,632.0337032500902,2507.3777925990726,15,0.7960346911864508,0.3992942801846807,1.583762789607421,0.3991839914697327,1.583771142211631,15,50.94622023593285,50.624674453524314,51.124135161459975,50.61756337431552,51.126467398142786,15,253.9350664884778,152.92970931073273,454.5399206173298,152.88746873290765,454.54231781473806,15,25.12453316599931,12.628153743399888,50.08837252759986,12.628087143999437,50.10220957599813,1.0,1.0,1.0,1.0,1.0
llama,0,2,15,300,0,15,60.09885200182907,31.225009649642743,60.431780098952004,30.842631498671835,60.451787498095655,15,20.187993698397932,20.17576434030953,20.210789701175557,20.17515993547051,20.211162980300777,15,20.186932999422424,20.173551499465248,20.20733350145747,20.172029000605107,20.20807200096897,15,1332.053852498575,681.7902913991929,2626.511075950839,672.5585149979452,2626.583691500855,15,61.17545314809831,49.07019116113588,61.4890183445823,43.79941845108988,61.50702665145218,15,20.212285658273302,20.19057851564756,20.223746968539842,20.188785374264096,20.227955837118873,15,20.459858998219715,20.33312987208774,20.556473799715604,20.33249945143325,20.579962998453993,15,1333.2478583983175,686.4248085315376,2627.9541376495763,686.3513978496485,2628.0719693491847,15,1.5085606875640396,0.7629903963826774,2.9390552019708065,0.7624361986112059,2.958989868962726,15,96.54788400409853,93.37814302224834,98.26590883717363,93.36300980468825,98.2903232396388,15,481.2308593329287,292.2253218145654,843.5088429656215,292.01306406809186,849.2300923923024,15,13.257670152001083,6.805041565099964,26.212655649199224,6.759063358000276,26.231703107001522,1.0,1.0,1.0,1.0,1.0
llama,0,4,15,300,0,15,62.14204049865657,54.61227974992653,62.423177299388044,40.631472002132796,62.423751998721855,15,20.498554354837268,20.481811505599758,20.51257035354937,20.477717007942992,20.517178822820274,15,20.47718449830427,20.46206469894969,20.50362914978905,20.449512998311548,20.5097684993234,15,1352.8942814973561,696.8185923999044,2667.740502549168,696.0169649992167,2668.187881999984,15,63.31996354947478,62.87393845948827,64.34963631105347,62.86548294847308,64.92661179872812,15,20.516370370844342,20.497260974606185,20.547905948415355,20.496109135721838,20.556027856453568,15,20.78655949972017,20.7057836011154,21.142505101361166,20.676378001917325,21.26806550040783,15,1353.972365100708,697.9831232228207,2669.993440051221,697.4304451525313,2670.749340300972,15,2.9587910627427565,1.500277828380853,5.745801923466343,1.4998940799922182,5.750652951993569,15,189.36262801553642,183.73280710632662,192.33172499180054,183.69594156370425,192.7720866215814,15,943.8543490149393,574.6064082698668,1649.0451520348404,574.4594326370196,1650.4373972221545,15,6.759517511000013,3.480803267002557,13.330864578902766,3.4778659340008744,13.334274911001557,1.0,1.0,1.0,1.0,1.0
llama,0,8,15,300,0,15,64.65081949863816,63.082296799257165,65.4448160499669,61.45621849827876,65.53599000108079,15,20.918321370939545,20.89920106200453,20.98688657559709,20.897556354787913,20.987909192913285,15,20.886384001642,20.837224699971557,20.937119851987518,20.808506498724455,20.9400595012994,15,1382.068488999721,707.9762753988689,2731.0396113507522,698.0583519980428,2731.1012704994937,15,76.63127555024403,73.38498037854151,77.41386467274424,69.12151215037738,77.60581324891973,15,20.96365126288278,20.91705625173586,20.999804512249053,20.91695866508258,21.00635118062083,15,21.266466497036163,21.19875980184588,21.61137566316029,21.198627501144074,21.792431050926098,15,1394.5320032484233,721.2498345231506,2742.2485401009726,716.2147227993046,2742.251677150489,15,4.84469481378352,2.4572035621613155,9.437010594414632,2.4569182263595293,9.594535247479236,15,310.0604680821453,299.59388429550387,314.58674497960783,299.50227401751954,314.62699783472954,15,1545.457645596943,941.1089643077837,2708.4220405969995,940.9996806956997,2753.6316160265405,15,4.1282270129995595,2.119565912699909,8.139333844199792,2.0845199359973776,8.140279064002243,1.0,1.0,1.0,1.0,1.0
llama,0,12,15,300,0,15,80.64400149851281,74.42659204989468,82.19093649913702,64.71539999984088,82.34398800050258,15,22.31050838888641,22.28572168205248,22.402681508659825,22.26539590317829,22.40533344490008,15,22.213719501451124,22.046395499637583,22.24991964903893,22.03690000169445,22.256895499594975,15,1485.58241200044,765.436826601217,2926.6639755494907,753.3017435016518,2927.3494284989283,15,82.19634824909008,76.05290695440999,83.89563417127647,66.01868824764097,83.99431065081444,15,22.326126645149937,22.291991438455575,22.405583501169147,22.271044496700334,22.409099937401088,15,22.638186498261348,22.450751699761895,22.88840988325319,22.44366699924285,22.90553045040724,15,1487.5620977487415,767.2847077103688,2928.75745327965,755.2015301016581,2929.311113098629,15,6.971490013153676,3.534385292078986,13.509981179964544,3.5342297818351,13.604820667928703,15,446.17536084183524,430.67085486374305,452.66486822134993,430.54079848986527,452.848807600613,15,2223.9053141960226,1353.6695668662514,3877.3645986498245,1353.6100064428433,3904.5835316955377,15,2.868827175003389,1.4804181037005035,5.658692633600731,1.470067154001299,5.658941617999517,1.0,1.0,1.0,1.0,1.0
llama,0,16,15,300,0,15,89.46769700196455,88.45849029967212,90.09659760049544,87.71762849937659,90.25326950177259,15,22.565402709651316,22.528519422596748,22.715125229537595,22.518668322581725,22.71752940159929,15,22.53001299868629,22.463357399647066,22.626535150993732,22.425279499657336,22.63059550023172,15,1511.166600001161,787.2954042992205,2973.8430242014147,787.0858634996694,2973.8847610005905,15,91.0811826992358,90.30658606665384,91.98242521930297,89.8530116506663,92.19033564932033,15,22.572089154780244,22.534567179595356,22.716230878473066,22.525866982294012,22.718193022835948,15,23.128298000301584,22.893923601259303,23.45650543593365,22.878462001790467,23.508849998688675,15,1513.209803251084,789.1713194109434,2975.4536556804123,789.0165817532761,2975.7090941480783,15,6.985894726865019,3.5458809879943134,13.471654623674791,3.5451799005463487,13.47234322513086,15,447.0972625193612,430.7049373229281,454.03008356079727,430.5392156488751,454.19352617564317,15,2228.500417869941,1358.0724184018218,3866.364876994666,1357.8039019092514,3866.562505612557,15,2.86291173599966,1.4845986318003268,5.640347322099842,1.4845227489968238,5.64146265099771,1.0,1.0,1.0,1.0,1.0
llama,2,1,15,300,0,15,258.843326002534,258.1684103504813,259.67536804855627,257.90793299893267,259.72697800170863,15,107.03207103213045,107.01286473716121,107.04098233505562,107.00088716135548,107.04303848028148,15,107.0233950013062,107.0118880001246,107.03017309970164,107.01004700240446,107.03028299758444,15,7001.526882999315,3576.4854741009913,13853.169294048348,3575.9751825025887,13853.842874999827,15,260.8482439976797,260.2561639443229,261.9791951379739,259.77135420362174,262.5068610530434,15,107.05288467696167,107.04467395842903,107.48838837072414,107.03990433382475,108.30128349028405,15,107.22957695033983,107.20692957744177,108.1881238115966,107.20403734885622,110.23412654758431,15,7003.735118448822,3578.057624100693,13864.570668291271,3577.969349900013,13865.35612474654,15,0.14281659851833461,0.07218030966102512,0.2796115520611124,0.0721791620138901,0.27963302483416197,15,9.140262305173415,8.937633787973825,9.239901506808158,8.918607549269042,9.239930804083542,15,45.55849492734874,27.64505860017262,80.24851544153925,27.644619051319907,80.25467812740449,15,140.03974473199924,71.52780313660405,277.0838764213033,71.52231039899925,277.0882820190018,5.494369571045986,5.493603930086377,9.125016692246811,5.575328403425917,0.17941001830645528
llama,2,2,15,300,0,15,467.5533930021629,261.57221295070485,490.522638200855,260.87393250418245,490.934745001141,15,249.07267600001575,246.60758305963685,251.3637830059079,246.59531701611064,251.37528220079193,15,251.35959000181174,251.31943545165996,251.39200885096216,251.31892550052726,251.40141300289542,15,16155.510943499394,8094.298307598729,32246.222817798844,8051.820849501382,32250.310888495733,15,611.1415510964434,263.4670905168605,612.1740880644211,263.1299371998466,612.2342919505172,15,251.3529035098453,247.01793965085665,251.446800150748,246.97652793555818,251.45105140641866,15,251.99985500512412,251.9800155260964,252.06016961161367,251.97954985269462,252.06785004702397,15,16164.839739249874,8100.761394695946,32255.38943728814,8057.874328901381,32258.18008655115,15,0.12381155492198391,0.062031049535209055,0.2471835356707828,0.062009473973197005,0.2483601390580389,15,7.926349161183078,7.88248272347374,7.951806312947829,7.881922921034301,7.9541460858703035,15,39.49588602011286,23.75789197198507,70.94167473751466,23.749628531734455,71.27935990965716,15,161.53581152100378,80.91232141330255,322.41919469389904,80.5282203329989,322.5313604280018,12.337663649052036,12.451598764854646,7.779739170191357,12.128271625952658,0.08209759585043415
llama,2,4,15,300,0,15,615.486469498137,452.3118918026739,754.8065590988699,414.9706829994102,754.9970620020758,15,251.4016659603392,251.34422714885224,251.432977525411,251.333281904769,251.43895099210755,15,251.41798999902676,251.34682289790362,251.44044024855248,251.34370649902849,251.4440819977608,15,16448.545463499613,8260.47077050207,32587.554759601335,8258.367319496756,32683.338326500234,15,756.9529015487205,753.4174791041733,762.3915354695782,753.1272649481252,762.5661206468067,15,251.50504028507405,251.44841383843743,251.6121414907426,251.42515551022544,251.71618995491667,15,252.13005400510158,252.03864023424103,252.34148969044327,252.00474339799257,252.35153979592724,15,16460.884628953136,8266.359430231823,32598.45180203709,8264.358403300503,32696.274985048512,15,0.24440918054852556,0.12285166060942987,0.4851783866412891,0.12255372128524052,0.48521733516272036,15,15.642187555105636,15.176117690714992,15.793575504917829,15.059297988007653,15.831909932693703,15,77.96652859497965,47.05218601341164,139.24619696604998,46.93807525224712,139.25737519170073,15,81.82998672600661,41.221951772599276,162.7983731304019,41.21864276199631,163.19373895999888,12.264360774349592,12.277956963265476,9.904510128074135,12.158041975973683,0.08260440678834612
llama,2,8,15,300,0,15,615.2021174966649,537.3521229499602,622.995469749003,364.1356715015718,638.3285934971354,15,253.1518701745506,253.0220539564799,253.1941066907078,252.95617245161162,253.1950654960755,15,253.03126049766433,252.93600969889667,253.1057113486895,252.92992599861464,253.1137750011112,15,16559.060061998025,8384.004225150784,32764.037404098417,8214.044484502665,32765.462714000023,15,757.4438855979679,598.569721273525,759.2446799855679,544.2311745962799,760.1445061460254,15,253.22000239804166,253.1351295229921,253.3271934205233,253.11463076189006,253.46610480653086,15,253.86967540362093,253.7609150424396,254.28795479991095,253.75122819968965,254.3613505011308,15,16575.02070879782,8411.659842442314,32790.71674672756,8267.112825600634,32793.28245714896,15,0.40330169419460954,0.20387423495135892,0.796149320697927,0.20387349691441053,0.8127654003376444,15,25.812672173380232,25.194081424737092,26.105360475844208,25.07762218598809,26.124580553962584,15,128.65324044808042,78.08383198637046,228.49485504030505,78.08354931821923,233.26366989690396,15,49.59066695700312,25.125550827197728,98.09969369049503,24.607346709999547,98.10004881799978,12.1019208800491,12.114651367023228,9.515766733778586,11.98135996428276,0.08325044573738306
