dataset,cv,defense,defense_family,defense_param,attacker_type,classifier,featureset,oracle,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,accuracy_mean,n_splits,n_jitter_reps,overhead_total_median_ms_low,overhead_total_median_ms_high,overhead_total_p95_ms_low,overhead_ttft_median_ms_low,overhead_decode_median_ms_low,relative_overhead_total_low,effective_target_ttft_mean,effective_target_ttft_std,effective_target_itl_mean,effective_target_itl_std
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,LogReg,all_primary,False,0.92208,0.04779,0.96583,0.03516,0.92208,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,LogReg,decode_only,False,0.85833,0.06208,0.95625,0.04444,0.85833,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,LogReg,e2el_only,False,0.91500,0.04433,0.96583,0.03516,0.91500,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,LogReg,itl_core,False,0.85917,0.06349,0.95625,0.04444,0.85917,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,LogReg,itl_median_only,False,0.85833,0.06208,0.86000,0.06330,0.85833,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,LogReg,ttft_only,False,0.86333,0.03649,0.87417,0.04108,0.86333,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,RandomForest,all_primary,False,0.96583,0.03516,0.96583,0.03516,0.96583,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,RandomForest,decode_only,False,0.95625,0.04444,0.95625,0.04444,0.95625,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,RandomForest,e2el_only,False,0.96583,0.03516,0.96583,0.03516,0.96583,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,RandomForest,itl_core,False,0.95625,0.04444,0.95625,0.04444,0.95625,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,RandomForest,itl_median_only,False,0.85958,0.06298,0.85958,0.06298,0.85958,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,adaptive,RandomForest,ttft_only,False,0.87333,0.03998,0.87333,0.03998,0.87333,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,LogReg,all_primary,False,0.50000,0.00000,0.96583,0.03516,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,LogReg,decode_only,False,0.50000,0.00000,0.95625,0.04444,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,LogReg,e2el_only,False,0.50000,0.00000,0.96583,0.03516,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,LogReg,itl_core,False,0.50000,0.00000,0.95625,0.04444,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,LogReg,itl_median_only,False,0.50000,0.00000,0.86000,0.06330,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,LogReg,ttft_only,False,0.50000,0.00000,0.87417,0.04108,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,RandomForest,all_primary,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,RandomForest,decode_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,RandomForest,e2el_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,RandomForest,itl_core,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,RandomForest,itl_median_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q25,frozen,RandomForest,ttft_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,90736.86223,1399.43777,90814.48575,2444.03963,88292.34027,68.01808,2506.59267,104.02568,1399.44188,0.61606
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,LogReg,all_primary,False,0.78375,0.04201,0.83708,0.06926,0.78375,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,LogReg,decode_only,False,0.75000,0.05103,0.77750,0.07786,0.75000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,LogReg,e2el_only,False,0.77208,0.04215,0.83708,0.06926,0.77208,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,LogReg,itl_core,False,0.75000,0.05103,0.77750,0.07786,0.75000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,LogReg,itl_median_only,False,0.75000,0.05103,0.75000,0.05103,0.75000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,LogReg,ttft_only,False,0.72000,0.02974,0.74708,0.02662,0.72000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,RandomForest,all_primary,False,0.83708,0.06926,0.83708,0.06926,0.83708,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,RandomForest,decode_only,False,0.77750,0.07786,0.77750,0.07786,0.77750,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,RandomForest,e2el_only,False,0.83708,0.06926,0.83708,0.06926,0.83708,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,RandomForest,itl_core,False,0.77750,0.07786,0.77750,0.07786,0.77750,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,RandomForest,itl_median_only,False,0.75000,0.05103,0.75000,0.05103,0.75000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,adaptive,RandomForest,ttft_only,False,0.74708,0.02662,0.74708,0.02662,0.74708,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,LogReg,all_primary,False,0.50000,0.00000,0.83708,0.06926,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,LogReg,decode_only,False,0.50000,0.00000,0.77750,0.07786,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,LogReg,e2el_only,False,0.50000,0.00000,0.83708,0.06926,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,LogReg,itl_core,False,0.50000,0.00000,0.77750,0.07786,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,LogReg,itl_median_only,False,0.50000,0.00000,0.75000,0.05103,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,LogReg,ttft_only,False,0.50000,0.00000,0.74708,0.02662,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,RandomForest,all_primary,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,RandomForest,decode_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,RandomForest,e2el_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,RandomForest,itl_core,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,RandomForest,itl_median_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q50,frozen,RandomForest,ttft_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,94659.30012,3202.46010,94736.92364,3285.45838,91373.35941,70.95841,3348.01142,6.57877,1447.58281,31.17951
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,LogReg,all_primary,False,0.70250,0.08394,0.70875,0.08118,0.70250,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,LogReg,decode_only,False,0.68250,0.09821,0.70875,0.08118,0.68250,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,LogReg,e2el_only,False,0.65083,0.07685,0.70875,0.08118,0.65083,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,LogReg,itl_core,False,0.70042,0.08587,0.70875,0.08118,0.70042,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,LogReg,itl_median_only,False,0.62667,0.09920,0.62667,0.09920,0.62667,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,LogReg,ttft_only,False,0.59792,0.03005,0.62875,0.03893,0.59792,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,RandomForest,all_primary,False,0.70875,0.08118,0.70875,0.08118,0.70875,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,RandomForest,decode_only,False,0.70875,0.08118,0.70875,0.08118,0.70875,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,RandomForest,e2el_only,False,0.70875,0.08118,0.70875,0.08118,0.70875,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,RandomForest,itl_core,False,0.70875,0.08118,0.70875,0.08118,0.70875,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,RandomForest,itl_median_only,False,0.62667,0.09920,0.62667,0.09920,0.62667,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,adaptive,RandomForest,ttft_only,False,0.62875,0.03893,0.62875,0.03893,0.62875,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,LogReg,all_primary,False,0.50000,0.00000,0.70875,0.08118,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,LogReg,decode_only,False,0.50000,0.00000,0.70875,0.08118,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,LogReg,e2el_only,False,0.50000,0.00000,0.70875,0.08118,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,LogReg,itl_core,False,0.50000,0.00000,0.70875,0.08118,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,LogReg,itl_median_only,False,0.50000,0.00000,0.62667,0.09920,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,LogReg,ttft_only,False,0.50000,0.00000,0.62875,0.03893,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,RandomForest,all_primary,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,RandomForest,decode_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,RandomForest,e2el_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,RandomForest,itl_core,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,RandomForest,itl_median_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q75,frozen,RandomForest,ttft_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,5,1,98514.96564,6129.58780,98592.58915,4440.59708,94073.88623,73.84869,4503.15012,4.68679,1489.77854,1.85521
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,LogReg,all_primary,False,0.63500,0.08092,0.65792,0.07289,0.63500,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,LogReg,decode_only,False,0.61875,0.08979,0.64417,0.09135,0.61875,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,LogReg,e2el_only,False,0.60583,0.07727,0.65792,0.07289,0.60583,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,LogReg,itl_core,False,0.61875,0.09771,0.64417,0.09135,0.61875,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,LogReg,itl_median_only,False,0.55333,0.07560,0.55333,0.07560,0.55333,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,LogReg,ttft_only,False,0.54167,0.03231,0.54167,0.03231,0.54167,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,RandomForest,all_primary,False,0.65792,0.07289,0.65792,0.07289,0.65792,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,RandomForest,decode_only,False,0.64417,0.09135,0.64417,0.09135,0.64417,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,RandomForest,e2el_only,False,0.65792,0.07289,0.65792,0.07289,0.65792,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,RandomForest,itl_core,False,0.64417,0.09135,0.64417,0.09135,0.64417,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,RandomForest,itl_median_only,False,0.55333,0.07560,0.55333,0.07560,0.55333,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,adaptive,RandomForest,ttft_only,False,0.54167,0.03231,0.54167,0.03231,0.54167,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,frozen,LogReg,all_primary,False,0.50000,0.00000,0.65792,0.07289,0.50000,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,frozen,LogReg,decode_only,False,0.50000,0.00000,0.64417,0.09135,0.50000,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
combined,groupkfold,calibrated_floor,combined_main,q90,frozen,LogReg,e2el_only,False,0.50000,0.00000,0.65792,0.07289,0.50000,5,1,100621.19191,8235.47147,100698.81542,5763.80708,94856.90250,75.42756,5826.36011,357.00540,1502.01317,2.55052
