dataset,defense,defense_param,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,overhead_total_median_ms_low,relative_overhead_total_low,effective_target_ttft_mean,effective_target_itl_mean
combined,calibrated_floor,q25,0.91458,0.09276,0.96083,0.08051,90383.8893,67.75348,2123.14663,1399.91803
combined,calibrated_floor,q50,0.78375,0.02897,0.88792,0.10089,93219.66049,69.87923,3344.66511,1425.14072
combined,calibrated_floor,q75,0.69458,0.08633,0.705,0.07247,98499.49541,73.8371,4455.22742,1490.28561
combined,calibrated_floor,q90,0.6125,0.11507,0.6575,0.10234,100593.35121,75.40669,5718.40991,1503.26488
combined,combined_floor,ttft100_itl25,0.95833,0.10206,1.0,0.0,368.84167,0.27485,,
combined,combined_floor,ttft200_itl50,0.95833,0.10206,1.0,0.0,2065.98904,1.5487,,
combined,combined_floor,ttft400_itl100,0.95833,0.10206,1.0,0.0,5465.98904,4.09741,,
combined,combined_floor,ttft800_itl200,0.95833,0.10206,1.0,0.0,12265.98904,9.19482,,
combined,combined_floor,ttft1600_itl400,0.95833,0.10206,1.0,0.0,25865.98904,19.38964,,
combined,combined_floor,ttft3200_itl800,0.95833,0.10206,0.96625,0.08267,53065.98904,39.77928,,
combined,combined_floor,ttft5000_itl1200,0.95833,0.10206,0.95833,0.10206,80465.98904,60.31884,,
combined,combined_jitter,ttft100_itl5,0.95833,0.09356,1.0,0.0,209.92299,0.15638,,
combined,combined_jitter,ttft200_itl10,0.95833,0.09356,1.0,0.0,419.97661,0.31269,,
combined,combined_jitter,ttft400_itl25,0.95833,0.09356,1.0,0.0,1000.32891,0.74454,,
combined,combined_jitter,ttft800_itl50,0.95833,0.09356,1.0,0.0,2005.16225,1.49282,,
combined,combined_jitter,ttft1600_itl100,0.95833,0.09356,1.0,0.0,4005.75745,2.98113,,
combined,combined_jitter,ttft3200_itl200,0.95833,0.09356,1.0,0.0,7988.64611,5.94344,,
combined,combined_jitter,ttft5000_itl400,0.95833,0.09356,1.0,0.0,15314.41251,11.40104,,
combined,combined_jitter,ttft8000_itl800,0.95833,0.09356,1.0,0.0,29590.38817,22.06746,,
llama,calibrated_floor,q25,0.9325,0.16534,0.9325,0.16534,89899.23858,66.27825,1828.57294,1397.29776
llama,calibrated_floor,q50,0.83333,0.18968,0.86333,0.18335,91532.62234,67.48247,3168.24969,1401.88694
