dataset,cv,defense,defense_family,defense_param,attacker_type,classifier,featureset,oracle,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,accuracy_mean,n_splits,n_jitter_reps,overhead_total_median_ms_low,overhead_total_median_ms_high,overhead_total_p95_ms_low,overhead_ttft_median_ms_low,overhead_decode_median_ms_low,relative_overhead_total_low,effective_target_ttft_mean,effective_target_ttft_std,effective_target_itl_mean,effective_target_itl_std
combined,loco,calibrated_floor,combined_main,q50,adaptive,LogReg,all_primary,False,0.78375,0.02897,0.88792,0.10089,0.78375,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,LogReg,decode_only,False,0.75000,0.00000,0.81125,0.09289,0.75000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,LogReg,e2el_only,False,0.77583,0.03089,0.88792,0.10089,0.77583,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,LogReg,itl_core,False,0.75000,0.00000,0.81125,0.09289,0.75000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,LogReg,itl_median_only,False,0.75000,0.00000,0.75000,0.00000,0.75000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,LogReg,ttft_only,False,0.72000,0.07034,0.76417,0.12381,0.72000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,RandomForest,all_primary,False,0.88792,0.10089,0.88792,0.10089,0.88792,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,RandomForest,decode_only,False,0.81125,0.09289,0.81125,0.09289,0.81125,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,RandomForest,e2el_only,False,0.88792,0.10089,0.88792,0.10089,0.88792,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,RandomForest,itl_core,False,0.81125,0.09289,0.81125,0.09289,0.81125,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,RandomForest,itl_median_only,False,0.75000,0.00000,0.75000,0.00000,0.75000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,adaptive,RandomForest,ttft_only,False,0.76417,0.12381,0.76417,0.12381,0.76417,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
