dataset,offload_gb,label,run_concurrency,run_id,request_idx,source_file,model_name,input_len,target_output_len,actual_output_len,ttft_ms,itl_count,itl_mean_ms,itl_median_ms,itl_std_ms,itl_min_ms,itl_max_ms,itl_p95_ms,itl_p99_ms,decode_time_ms,e2el_ms
llama,0,0,12,1,0,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,83.90774100007548,64,22.01715534374671,22.33198150042881,2.8225438634069713,0.005710000550607219,25.103762000071583,22.6841915505247,24.02611172004981,1409.0979419997893,1493.0056829998648
llama,0,0,12,1,1,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,38.27953099971637,64,21.972599140639204,22.330766499180754,2.9066341039254078,0.010020999980042689,27.32513199953246,22.660551050012145,24.728038269822708,1406.246345000909,1444.5258760006254
llama,0,0,12,1,2,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,83.59566299986909,64,22.016721265600836,22.329541500766936,2.823655901471731,0.004479999915929511,25.171014000079595,22.87247760068567,23.918936879690587,1409.0701609984535,1492.6658239983226
llama,0,0,12,1,3,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,83.69543499975407,64,22.017531296881998,22.332792000270274,2.825675882231254,0.004640000042854808,25.2591560001747,22.874730749390437,23.977058750115244,1409.1220030004479,1492.817438000202
llama,0,0,12,1,4,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,83.48356900023646,64,22.016972687481484,22.337151999636262,2.824119883985865,0.0042909996409434825,25.190293999912683,22.873728601371113,23.929504609695865,1409.086251998815,1492.5698209990514
llama,0,0,12,1,5,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,82.96724499996344,64,22.01650157812196,22.327882001263788,2.8233054300559166,0.0046099994506221265,25.152972999421763,22.871265749563463,23.909514908700654,1409.0561009998055,1492.023345999769
llama,0,0,12,1,6,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,82.9952370004321,64,22.017430046872732,22.336041999551526,2.824267150487584,0.0042100000428035855,25.228156000594026,22.845618549854407,23.949371920734844,1409.1155229998549,1492.110760000287
llama,0,0,12,1,7,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,82.96704500025953,64,22.017622703117468,22.331262000079732,2.824518025242445,0.0044600001274375245,25.244955999369267,22.848566400261916,23.958644049762366,1409.127852999518,1492.0948979997775
llama,0,0,12,1,8,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,82.78683100070339,64,22.016265781246602,22.33216700005869,2.822691099304546,0.0055799991969252005,25.132953000138514,22.867119899729005,23.92039704007402,1409.0410099997825,1491.827841000486
llama,0,0,12,1,9,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,82.03986099942995,64,22.00856995312961,22.342857500007085,2.8137169569552416,0.007260001439135522,24.669169999469887,22.673377700448327,23.776738459710028,1408.548477000295,1490.588337999725
llama,0,0,12,1,10,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,82.31153800079483,64,22.017393937488805,22.330206999868096,2.8254103191375064,0.005149999196873978,25.263636000090628,22.851982748761657,23.981262179804613,1409.1132119992835,1491.4247500000783
llama,0,0,12,1,11,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,82.1696940001857,64,22.01723317187998,22.332042500238458,2.8237005013186898,0.0049600002967054024,25.210645999322878,22.87216324957626,23.9400084501176,1409.1029230003187,1491.2726170005044
llama,0,0,12,1,12,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,66.38431399915135,64,20.643966531253,20.93963849983993,2.7537881822808488,0.007671000275877304,27.243030001045554,21.105537999301305,23.97220797010958,1321.213858000192,1387.5981719993433
llama,0,0,12,1,13,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,64.65794700125116,64,20.612051140631138,20.945043999745394,2.6318193890380748,0.00471099883725401,22.65940600045724,21.213159999388154,22.280166789332725,1319.1712730003928,1383.829220001644
llama,0,0,12,1,14,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,64.05825100046059,64,20.61206176563246,20.944964000591426,2.631281099537381,0.005149999196873978,22.634065000602277,21.197514050800237,22.26416932007851,1319.1719530004775,1383.230204000938
llama,0,0,12,1,15,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,63.84867499946267,64,20.61053234373844,20.950909000021056,2.628736711184056,0.004989999069948681,22.502382000311627,21.19735239984948,22.195544281021284,1319.0740699992602,1382.922744998723
llama,0,0,12,1,16,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,63.99044899990258,64,20.61216129686727,20.945704000041587,2.6322289878675593,0.004550000085146166,22.674416000882047,21.214395198967395,22.288864190049935,1319.1783229995053,1383.168771999408
llama,0,0,12,1,17,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,63.831895000475924,64,20.611387515629076,20.94473899978766,2.630496194059579,0.004949999492964707,22.584024000025238,21.198837698739226,22.2430774501845,1319.1288010002609,1382.9606960007368
llama,0,0,12,1,18,porto/runs/2026-04-26_lama/base_runs/bench_runs_offload_paper1_rerun_offload0_20260319_092246/offload0_conc12_run1.json,meta-llama/Llama-3.1-8B-Instruct,256,64,64,63.91726699985156,64,20.61185192187054,20.947339499798545,2.6328500220925326,0.004941000952385366,22.6869269990857,21.209956999791757,22.296662789958646,1319.1585229997145,1383.075789999566
