dataset,defense,defense_param,attacker_type,classifier,featureset,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,accuracy_mean,n_splits,n_jitter_reps,n_low_test_mean,n_high_test_mean,overhead_median_ms_all,overhead_median_ms_low,overhead_median_ms_high,relative_overhead_low,relative_overhead_high,effective_pad_mean,effective_pad_std
llama,itl_floor_pad,25.00000,adaptive,LogReg,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,1.34567,4.79884,0.00000,0.23755,0.00000,,
llama,itl_floor_pad,25.00000,adaptive,RandomForest,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,1.34567,4.79884,0.00000,0.23755,0.00000,,
llama,itl_floor_pad,25.00000,frozen,LogReg,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,1.34567,4.79884,0.00000,0.23755,0.00000,,
llama,itl_floor_pad,25.00000,frozen,RandomForest,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,1.34567,4.79884,0.00000,0.23755,0.00000,,
llama,itl_floor_pad,50.00000,adaptive,LogReg,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,13.84567,29.79884,0.00000,1.47511,0.00000,,
llama,itl_floor_pad,50.00000,adaptive,RandomForest,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,13.84567,29.79884,0.00000,1.47511,0.00000,,
llama,itl_floor_pad,50.00000,frozen,LogReg,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,13.84567,29.79884,0.00000,1.47511,0.00000,,
llama,itl_floor_pad,50.00000,frozen,RandomForest,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,13.84567,29.79884,0.00000,1.47511,0.00000,,
llama,itl_floor_pad,100.00000,adaptive,LogReg,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,38.84567,79.79884,0.00000,3.95021,0.00000,,
llama,itl_floor_pad,100.00000,adaptive,RandomForest,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,38.84567,79.79884,0.00000,3.95021,0.00000,,
llama,itl_floor_pad,100.00000,frozen,LogReg,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,38.84567,79.79884,0.00000,3.95021,0.00000,,
llama,itl_floor_pad,100.00000,frozen,RandomForest,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,38.84567,79.79884,0.00000,3.95021,0.00000,,
llama,itl_floor_pad,200.00000,adaptive,LogReg,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,88.84567,179.79884,0.00000,8.90042,0.00000,,
llama,itl_floor_pad,200.00000,adaptive,RandomForest,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,88.84567,179.79884,0.00000,8.90042,0.00000,,
llama,itl_floor_pad,200.00000,frozen,LogReg,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,88.84567,179.79884,0.00000,8.90042,0.00000,,
llama,itl_floor_pad,200.00000,frozen,RandomForest,core,1.00000,0.00000,1.00000,0.00000,1.00000,5,1,120.00000,120.00000,88.84567,179.79884,0.00000,8.90042,0.00000,,
